,Year,Year Code,State,State Code,Age of Mother 10,Age of Mother 10 Code,Births,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
0,2007.0,2007.0,Alabama,1.0,Under 15 years,15-,136.0,Not Available,Not Available,2998.37,620.62,37.66,3.98,38.01,3.12
1,2007.0,2007.0,Alabama,1.0,15 - 17 years,15-17,2815.0,100067,28.13,3059.11,611.03,38.08,3.31,38.16,2.6
2,2007.0,2007.0,Alabama,1.0,18 - 19 years,18-19,5881.0,66944,87.85,3082.87,590.55,38.22,3.03,38.19,2.46
3,2007.0,2007.0,Alabama,1.0,20-24 years,20-24,20228.0,163425,123.78,3141.11,595.46,38.25,2.87,38.13,2.31
4,2007.0,2007.0,Alabama,1.0,25-29 years,25-29,18434.0,156497,117.79,3208.7,606.35,38.2,2.74,38.09,2.27
5,2007.0,2007.0,Alabama,1.0,30-34 years,30-34,11356.0,145591,78.00,3247.87,628.77,38.09,2.68,38.03,2.32
6,2007.0,2007.0,Alabama,1.0,35-39 years,35-39,4998.0,159044,31.43,3211.88,677.75,37.76,2.9,37.85,2.51
7,2007.0,2007.0,Alabama,1.0,40-44 years,40-44,919.0,166904,5.51,3214.8,677.47,37.61,2.9,37.82,2.44
8,2007.0,2007.0,Alabama,1.0,45-49 years,45-49,36.0,Not Available,Not Available,2890.72,665.19,37.31,2.35,37.44,2.42
9,2007.0,2007.0,Alaska,2.0,15 - 17 years,15-17,271.0,16654,16.27,3314.03,640.46,38.58,3.16,38.54,2.71
10,2007.0,2007.0,Alaska,2.0,18 - 19 years,18-19,846.0,9401,89.99,3367.54,549.47,38.87,2.37,38.75,2.02
11,2007.0,2007.0,Alaska,2.0,20-24 years,20-24,3316.0,24336,136.26,3396.42,563.71,38.84,2.39,38.71,2.05
12,2007.0,2007.0,Alaska,2.0,25-29 years,25-29,3184.0,23398,136.08,3442.69,571.69,38.87,2.21,38.82,1.86
13,2007.0,2007.0,Alaska,2.0,30-34 years,30-34,2089.0,20973,99.60,3454.27,611.56,38.74,2.32,38.72,2.06
14,2007.0,2007.0,Alaska,2.0,35-39 years,35-39,1054.0,22611,46.61,3398.32,623.06,38.49,2.42,38.56,2.14
15,2007.0,2007.0,Alaska,2.0,40-44 years,40-44,262.0,24314,10.78,3361.03,720.89,38.37,2.83,38.35,2.57
16,2007.0,2007.0,Alaska,2.0,45-49 years,45-49,23.0,Not Available,Not Available,3222.39,801.59,38.22,2.89,36.65,4.35
17,2007.0,2007.0,Arizona,4.0,Under 15 years,15-,181.0,Not Available,Not Available,3114.12,507.56,38.12,3.0,38.3,2.42
18,2007.0,2007.0,Arizona,4.0,15 - 17 years,15-17,4379.0,130982,33.43,3195.19,528.61,38.52,2.79,38.5,2.27
19,2007.0,2007.0,Arizona,4.0,18 - 19 years,18-19,8489.0,84883,100.01,3218.31,545.33,38.64,2.65,38.54,2.19
20,2007.0,2007.0,Arizona,4.0,20-24 years,20-24,27875.0,204621,136.23,3258.56,548.61,38.65,2.55,38.51,2.1
21,2007.0,2007.0,Arizona,4.0,25-29 years,25-29,28833.0,220007,131.05,3314.49,555.08,38.65,2.39,38.5,2.05
22,2007.0,2007.0,Arizona,4.0,30-34 years,30-34,21037.0,195182,107.78,3322.01,583.41,38.5,2.44,38.38,2.11
23,2007.0,2007.0,Arizona,4.0,35-39 years,35-39,9968.0,205433,48.52,3308.77,601.06,38.34,2.47,38.3,2.13
24,2007.0,2007.0,Arizona,4.0,40-44 years,40-44,2079.0,204918,10.15,3248.71,652.94,38.02,2.84,38.04,2.42
25,2007.0,2007.0,Arizona,4.0,45-49 years,45-49,135.0,Not Available,Not Available,3077.23,665.93,37.94,2.64,37.64,2.1
26,2007.0,2007.0,Arkansas,5.0,Under 15 years,15-,103.0,Not Available,Not Available,3013.24,497.87,37.86,3.61,37.97,2.57
27,2007.0,2007.0,Arkansas,5.0,15 - 17 years,15-17,1809.0,59368,30.47,3119.76,568.54,38.37,2.95,38.32,2.46
28,2007.0,2007.0,Arkansas,5.0,18 - 19 years,18-19,4117.0,39176,105.09,3130.26,581.42,38.53,2.82,38.37,2.34
29,2007.0,2007.0,Arkansas,5.0,20-24 years,20-24,13960.0,96034,145.37,3186.5,576.41,38.49,2.63,38.3,2.15
30,2007.0,2007.0,Arkansas,5.0,25-29 years,25-29,11715.0,98159,119.35,3259.06,584.46,38.49,2.42,38.31,2.05
31,2007.0,2007.0,Arkansas,5.0,30-34 years,30-34,6369.0,85904,74.14,3283.73,608.48,38.35,2.59,38.18,2.27
32,2007.0,2007.0,Arkansas,5.0,35-39 years,35-39,2753.0,92510,29.76,3275.09,677.77,38.23,2.75,38.08,2.43
33,2007.0,2007.0,Arkansas,5.0,40-44 years,40-44,515.0,97890,5.26,3214.65,678.78,38.21,2.62,38.0,2.3
34,2007.0,2007.0,Arkansas,5.0,45-49 years,45-49,35.0,Not Available,Not Available,3136.37,653.63,37.89,2.91,37.89,2.59
35,2007.0,2007.0,California,6.0,Under 15 years,15-,663.0,Not Available,Not Available,3131.91,539.16,38.23,2.83,38.32,2.46
36,2007.0,2007.0,California,6.0,15 - 17 years,15-17,17592.0,830407,21.18,3190.65,551.15,38.6,2.69,38.6,2.27
37,2007.0,2007.0,California,6.0,18 - 19 years,18-19,35825.0,519197,69.00,3232.69,548.36,38.77,2.54,38.7,2.15
38,2007.0,2007.0,California,6.0,20-24 years,20-24,128059.0,1265950,101.16,3290.21,548.64,38.81,2.39,38.68,2.04
39,2007.0,2007.0,California,6.0,25-29 years,25-29,150629.0,1315736,114.48,3325.37,560.77,38.78,2.31,38.63,2.01
40,2007.0,2007.0,California,6.0,30-34 years,30-34,135432.0,1224203,110.63,3324.62,579.5,38.64,2.31,38.53,2.05
41,2007.0,2007.0,California,6.0,35-39 years,35-39,78489.0,1324022,59.28,3308.67,606.94,38.43,2.36,38.38,2.15
42,2007.0,2007.0,California,6.0,40-44 years,40-44,18281.0,1324229,13.81,3261.65,646.65,38.19,2.54,38.18,2.33
43,2007.0,2007.0,California,6.0,45-49 years,45-49,1324.0,Not Available,Not Available,3045.29,756.5,37.54,3.03,37.42,2.87
44,2007.0,2007.0,California,6.0,50 years and over,50+,120.0,Not Available,Not Available,2821.07,839.21,36.99,3.49,36.36,3.48
45,2007.0,2007.0,Colorado,8.0,Under 15 years,15-,98.0,Not Available,Not Available,3040.06,636.56,37.51,4.03,38.32,3.23
46,2007.0,2007.0,Colorado,8.0,15 - 17 years,15-17,2229.0,98275,22.68,3083.31,553.78,38.57,3.02,38.56,2.36
47,2007.0,2007.0,Colorado,8.0,18 - 19 years,18-19,4508.0,63861,70.59,3103.51,536.47,38.69,2.77,38.61,2.21
48,2007.0,2007.0,Colorado,8.0,20-24 years,20-24,16342.0,163106,100.19,3158.91,547.74,38.71,2.58,38.6,2.13
49,2007.0,2007.0,Colorado,8.0,25-29 years,25-29,19687.0,170782,115.28,3205.44,546.39,38.69,2.43,38.61,2.05
50,2007.0,2007.0,Colorado,8.0,30-34 years,30-34,16748.0,162083,103.33,3220.36,562.51,38.57,2.36,38.56,2.05
51,2007.0,2007.0,Colorado,8.0,35-39 years,35-39,9238.0,172512,53.55,3211.3,584.31,38.38,2.38,38.45,2.13
52,2007.0,2007.0,Colorado,8.0,40-44 years,40-44,1822.0,174065,10.47,3140.09,626.11,38.06,2.59,38.23,2.3
53,2007.0,2007.0,Colorado,8.0,45-49 years,45-49,125.0,Not Available,Not Available,2979.46,593.47,37.42,2.62,37.72,2.43
54,2007.0,2007.0,Colorado,8.0,50 years and over,50+,12.0,Not Available,Not Available,1792.92,742.26,32.75,4.71,33.42,4.33
55,2007.0,2007.0,Connecticut,9.0,Under 15 years,15-,33.0,Not Available,Not Available,3275.61,543.57,39.03,1.77,39.21,1.68
56,2007.0,2007.0,Connecticut,9.0,15 - 17 years,15-17,883.0,76084,11.61,3129.69,584.22,38.66,2.95,38.59,2.56
57,2007.0,2007.0,Connecticut,9.0,18 - 19 years,18-19,1954.0,47008,41.57,3176.35,575.52,38.88,2.65,38.73,2.41
58,2007.0,2007.0,Connecticut,9.0,20-24 years,20-24,7244.0,105977,68.35,3238.62,599.83,38.78,2.59,38.63,2.35
59,2007.0,2007.0,Connecticut,9.0,25-29 years,25-29,10505.0,98955,106.16,3297.92,586.19,38.79,2.42,38.64,2.21
60,2007.0,2007.0,Connecticut,9.0,30-34 years,30-34,11694.0,103125,113.40,3313.88,605.1,38.63,2.44,38.54,2.29
