Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,ICD Chapter,ICD Chapter Code,Deaths,Births,Death Rate
,Alabama,1,2007,2007,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,54,8696,6.21
,Alabama,1,2007,2007,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17,8696,1.95 (Unreliable)
,Alabama,1,2007,2007,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,23,8696,2.65
,Alabama,1,2007,2007,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,91,20228,4.50
,Alabama,1,2007,2007,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,37,20228,1.83
,Alabama,1,2007,2007,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,41,20228,2.03
,Alabama,1,2007,2007,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,20,20228,0.99
,Alabama,1,2007,2007,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,84,18434,4.56
,Alabama,1,2007,2007,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,30,18434,1.63
,Alabama,1,2007,2007,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,23,18434,1.25
,Alabama,1,2007,2007,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,51,11356,4.49
,Alabama,1,2007,2007,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24,11356,2.11
,Alabama,1,2007,2007,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,21,4998,4.20
,Alabama,1,2008,2008,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,47,8559,5.49
,Alabama,1,2008,2008,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25,8559,2.93
,Alabama,1,2008,2008,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,94,19980,4.71
,Alabama,1,2008,2008,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,35,19980,1.75
,Alabama,1,2008,2008,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,37,19980,1.86
,Alabama,1,2008,2008,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12,19980,0.60 (Unreliable)
,Alabama,1,2008,2008,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,74,18603,3.98
,Alabama,1,2008,2008,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,31,18603,1.67
,Alabama,1,2008,2008,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,17,18603,0.92 (Unreliable)
,Alabama,1,2008,2008,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,51,11422,4.47
,Alabama,1,2008,2008,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21,11422,1.84
,Alabama,1,2008,2008,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,35,4906,7.14
,Alabama,1,2009,2009,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,56,8205,6.83
,Alabama,1,2009,2009,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,12,8205,1.46 (Unreliable)
,Alabama,1,2009,2009,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,18,8205,2.19 (Unreliable)
,Alabama,1,2009,2009,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,80,18918,4.23
,Alabama,1,2009,2009,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17,18918,0.90 (Unreliable)
,Alabama,1,2009,2009,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,38,18918,2.01
,Alabama,1,2009,2009,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,68,18086,3.76
,Alabama,1,2009,2009,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,27,18086,1.49
,Alabama,1,2009,2009,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21,18086,1.16
,Alabama,1,2009,2009,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,31,11571,2.68
,Alabama,1,2009,2009,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,12,11571,1.04 (Unreliable)
,Alabama,1,2009,2009,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,24,4598,5.22
,Alabama,1,2010,2010,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,28,7343,3.81
,Alabama,1,2010,2010,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,10,7343,1.37 (Unreliable)
,Alabama,1,2010,2010,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,72,17745,4.06
,Alabama,1,2010,2010,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,30,17745,1.69
,Alabama,1,2010,2010,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,32,17745,1.81
,Alabama,1,2010,2010,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12,17745,0.68 (Unreliable)
,Alabama,1,2010,2010,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,71,17683,4.02
,Alabama,1,2010,2010,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,26,17683,1.47
,Alabama,1,2010,2010,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,24,17683,1.36
