Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2008,Alabama,0.095,0.113,0.282,0.118,0.608
2008,Alaska,0.113,0.122,0.289,0.12,0.644
2008,Arizona,0.09,0.126,0.266,0.105,0.587
2008,Arkansas,0.09,0.114,0.276,0.117,0.597
2008,California,0.101,0.126,0.288,0.102,0.617
2008,Colorado,0.093,0.132,0.3,0.113,0.638
2008,Connecticut,0.082,0.102,0.314,0.119,0.617
2008,Delaware,0.09,0.109,0.288,0.121,0.608
2008,District of Columbia,0.111,0.161,0.285,0.115,0.672
2008,Florida,0.085,0.108,0.281,0.119,0.593
2008,Georgia,0.091,0.124,0.298,0.106,0.619
2008,Hawaii,0.096,0.109,0.283,0.12,0.608
2008,Idaho,0.096,0.121,0.267,0.112,0.596
2008,Illinois,0.095,0.123,0.291,0.108,0.617
2008,Indiana,0.086,0.12,0.291,0.114,0.611
2008,Iowa,0.097,0.108,0.285,0.118,0.608
2008,Kansas,0.097,0.117,0.28,0.112,0.606
2008,Kentucky,0.084,0.119,0.297,0.12,0.62
2008,Louisiana,0.101,0.115,0.28,0.116,0.612
2008,Maine,0.075,0.1,0.317,0.136,0.628
2008,Maryland,0.091,0.113,0.305,0.116,0.625
2008,Massachusetts,0.091,0.116,0.309,0.118,0.634
2008,Michigan,0.09,0.111,0.296,0.119,0.616
2008,Minnesota,0.093,0.118,0.301,0.114,0.626
2008,Mississippi,0.095,0.112,0.277,0.112,0.596
2008,Missouri,0.093,0.117,0.287,0.117,0.614
2008,Montana,0.095,0.106,0.279,0.127,0.607
2008,Nebraska,0.092,0.118,0.278,0.111,0.599
2008,Nevada,0.085,0.128,0.288,0.113,0.614
2008,New Hampshire,0.08,0.106,0.324,0.129,0.639
2008,New Jersey,0.085,0.11,0.311,0.113,0.619
2008,New Mexico,0.097,0.116,0.27,0.115,0.598
2008,New York,0.095,0.116,0.299,0.116,0.626
2008,North Carolina,0.085,0.119,0.295,0.117,0.616
2008,North Dakota,0.12,0.115,0.265,0.128,0.628
2008,Ohio,0.087,0.114,0.292,0.119,0.612
2008,Oklahoma,0.095,0.12,0.27,0.115,0.6
2008,Oregon,0.09,0.124,0.285,0.126,0.625
2008,Pennsylvania,0.086,0.105,0.299,0.123,0.613
2008,Rhode Island,0.098,0.107,0.307,0.119,0.631
2008,South Carolina,0.089,0.111,0.286,0.125,0.611
2008,South Dakota,0.085,0.106,0.282,0.115,0.588
2008,Tennessee,0.086,0.119,0.294,0.121,0.62
2008,Texas,0.097,0.128,0.281,0.099,0.605
2008,Utah,0.123,0.141,0.235,0.083,0.582
2008,Vermont,0.084,0.102,0.319,0.135,0.64
2008,Virginia,0.089,0.114,0.302,0.118,0.623
2008,Washington,0.087,0.123,0.298,0.121,0.629
2008,West Virginia,0.084,0.112,0.291,0.138,0.625
2008,Wisconsin,0.092,0.113,0.299,0.118,0.622
2008,Wyoming,0.094,0.116,0.284,0.122,0.616
2008,Puerto Rico,0.101,0.122,0.263,0.114,0.6
2009,Alabama,0.093,0.116,0.277,0.12,0.606
2009,Alaska,0.103,0.122,0.291,0.117,0.633
2009,Arizona,0.092,0.129,0.263,0.108,0.592
2009,Arkansas,0.09,0.118,0.272,0.12,0.6
2009,California,0.098,0.129,0.285,0.106,0.618
2009,Colorado,0.094,0.13,0.294,0.116,0.634
2009,Connecticut,0.084,0.106,0.306,0.122,0.618
2009,Delaware,0.085,0.12,0.284,0.123,0.612
2009,District of Columbia,0.107,0.17,0.283,0.116,0.676
2009,Florida,0.088,0.111,0.276,0.119,0.594
2009,Georgia,0.092,0.123,0.291,0.108,0.614
2009,Hawaii,0.085,0.122,0.276,0.126,0.609
2009,Idaho,0.102,0.116,0.26,0.115,0.593
2009,Illinois,0.094,0.125,0.287,0.112,0.618
2009,Indiana,0.092,0.118,0.284,0.117,0.611
2009,Iowa,0.093,0.114,0.275,0.122,0.604
2009,Kansas,0.102,0.116,0.275,0.115,0.608
2009,Kentucky,0.09,0.12,0.288,0.122,0.62
2009,Louisiana,0.101,0.122,0.273,0.115,0.611
2009,Maine,0.08,0.102,0.304,0.143,0.629
2009,Maryland,0.091,0.116,0.301,0.119,0.627
2009,Massachusetts,0.089,0.117,0.307,0.122,0.635
2009,Michigan,0.094,0.107,0.293,0.124,0.618
2009,Minnesota,0.092,0.121,0.292,0.118,0.623
2009,Mississippi,0.097,0.117,0.267,0.114,0.595
2009,Missouri,0.093,0.116,0.282,0.119,0.61
2009,Montana,0.097,0.11,0.274,0.136,0.617
2009,Nebraska,0.102,0.119,0.271,0.114,0.606
2009,Nevada,0.087,0.131,0.281,0.113,0.612
2009,New Hampshire,0.088,0.099,0.317,0.131,0.635
2009,New Jersey,0.083,0.113,0.305,0.117,0.618
2009,New Mexico,0.097,0.118,0.261,0.119,0.595
2009,New York,0.092,0.121,0.295,0.119,0.627
2009,North Carolina,0.09,0.116,0.289,0.118,0.613
2009,North Dakota,0.121,0.113,0.266,0.119,0.619
2009,Ohio,0.087,0.115,0.289,0.123,0.614
2009,Oklahoma,0.099,0.119,0.265,0.115,0.598
2009,Oregon,0.091,0.124,0.278,0.131,0.624
2009,Pennsylvania,0.086,0.11,0.292,0.126,0.614
2009,Rhode Island,0.086,0.117,0.298,0.124,0.625
2009,South Carolina,0.089,0.116,0.279,0.126,0.61
2009,South Dakota,0.098,0.113,0.262,0.124,0.597
2009,Tennessee,0.088,0.119,0.287,0.122,0.616
2009,Texas,0.098,0.13,0.275,0.1,0.603
2009,Utah,0.121,0.142,0.234,0.085,0.582
2009,Vermont,0.095,0.1,0.299,0.142,0.636
2009,Virginia,0.092,0.117,0.295,0.119,0.623
2009,Washington,0.091,0.125,0.289,0.123,0.628
2009,West Virginia,0.086,0.112,0.283,0.14,0.621
2009,Wisconsin,0.094,0.114,0.292,0.122,0.622
2009,Wyoming,0.099,0.12,0.278,0.129,0.626
2009,Puerto Rico,0.101,0.122,0.264,0.115,0.602
2010,Alabama,0.094,0.113,0.276,0.126,0.609
2010,Alaska,0.094,0.125,0.292,0.125,0.636
2010,Arizona,0.093,0.119,0.261,0.116,0.589
2010,Arkansas,0.091,0.111,0.27,0.124,0.596
2010,California,0.101,0.127,0.282,0.111,0.621
2010,Colorado,0.093,0.128,0.289,0.122,0.632
2010,Connecticut,0.082,0.104,0.303,0.128,0.617
2010,Delaware,0.092,0.112,0.281,0.128,0.613
2010,District of Columbia,0.132,0.186,0.27,0.109,0.697
